FLIGHT,FLTDATE,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY
1608304194,2024/10/31,A350,PEK,740,C,11P,P6P,1
1608304194,2024/10/31,A350,PEK,2305,C,21P,P6P,1
1608304194,2024/10/31,A350,PEK,1435,C,22P,P6P,1
1608304194,2024/10/31,A350,PEK,1520,C,23P,P6P,1
1608304194,2024/10/31,A350,PEK,1825,C,24P,P6P,1
1608304194,2024/10/31,A350,PEK,2375,C,31P,P6P,1
1608304194,2024/10/31,A350,PEK,2400,C,32P,P6P,1
1608304194,2024/10/31,A350,PEK,2500,C,41P,P6P,1
1608304194,2024/10/31,A350,PEK,2560,C,42P,P6P,1
1608304194,2024/10/31,A350,PEK,400,B,44L,LD3,1
1608304194,2024/10/31,A350,PEK,400,B,44R,LD3,1
1608304194,2024/10/31,A350,PEK,400,B,45L,LD3,1
1608304194,2024/10/31,A350,PEK,400,B,45R,LD3,1
4188100296,2024/10/31,A350,PEK,120,C T,31L,LD3,1
4188100296,2024/10/31,A350,PEK,317,B,31R,LD3,1
4188100296,2024/10/31,A350,PEK,335,BYT,32L,LD3,1
4188100296,2024/10/31,A350,PEK,317,B,32R,LD3,1
4188100296,2024/10/31,A350,PEK,402,BTT,33L,LD3,1
4188100296,2024/10/31,A350,PEK,317,B,33R,LD3,1
4188100296,2024/10/31,A350,PEK,401,BFT,41L,LD3,1
4188100296,2024/10/31,A350,PEK,20,B,5,BULK,1
7150063952,2024/11/13,A350,PEK,100,X,11L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,11R,LD3,1
7150063952,2024/11/13,A350,PEK,100,B,5,BULK,1
7150063952,2024/11/13,A350,PEK,100,X,12L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,12R,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,14L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,14R,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,15L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,15R,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,21L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,21R,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,22L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,22R,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,23L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,23R,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,24L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,24R,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,25L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,25R,LD3,1
7150063952,2024/11/13,A350,PEK,720,X,26,PLA,1
7150063952,2024/11/13,A350,PEK,1400,C,31P,P6P,1
7150063952,2024/11/13,A350,PEK,1250,C,32P,P6P,1
7150063952,2024/11/13,A350,PEK,100,X,41L,LD3,1
7150063952,2024/11/13,A350,PEK,100,X,41R,LD3,1
7150063952,2024/11/13,A350,PEK,613,B,42L,LD3,1
7150063952,2024/11/13,A350,PEK,613,B,42R,LD3,1
7150063952,2024/11/13,A350,PEK,613,B,43L,LD3,1
7150063952,2024/11/13,A350,PEK,613,B,43R,LD3,1
7150063952,2024/11/13,A350,PEK,613,B,44L,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,15L,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,15R,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,21L,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,21R,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,22L,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,22R,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,23L,LD3,1
7150063952,2024/10/29,A350,PEK,100,X,23R,LD3,1
