FLIGHT,FLTDATE,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY
5851383884,FLTDATE,FLEET,DEST,WEIGHT,TYPE,POS,CONT,PRIORITY
8224055674,2024/7/19,787,BUD,1921,C,11P,P6P,01
8224055674,2024/7/19,787,BUD,2026,C,12P,P6P,01
8224055674,2024/7/19,787,BUD,2141,C,13P,P6P,01
8224055674,2024/7/19,787,BUD,2419,C,21P,P6P,01
8224055674,2024/7/19,787,BUD,2482,C,22P,P6P,01
8224055674,2024/7/19,787,BUD,3238,C,23P,P6P,01
8224055674,2024/7/19,787,BUD,1896,C,31P,P6P,01
8224055674,2024/7/19,787,BUD,2094,C,33,PLA,01
8224055674,2024/7/19,787,BUD,1065,C,34L,LD3,01
8224055674,2024/7/19,787,BUD,664,B,34R,LD3,01
8224055674,2024/7/19,787,BUD,664,B,41L,LD3,01
8224055674,2024/7/19,787,BUD,664,B,41R,LD3,01
8224055674,2024/7/19,787,BUD,664,B,42L,LD3,01
8224055674,2024/7/19,787,BUD,664,B,42R,LD3,01
8224055674,2024/7/19,787,BUD,663,B,43L,LD3,01
8224055674,2024/7/19,787,BUD,663,B,43R,LD3,01
8224055674,2024/7/19,787,BUD,2315,C,44,PLA,01
8224055674,2024/7/19,787,BUD,439,C,5,BULK,01
8224055674,2024/7/19,787,BUD,20,B,5,BULK,01
2592456358,2024/7/19,787,PEK,100,X,13L,LD3,01
2592456358,2024/7/19,787,PEK,1985,C,13P,P6P,01
2592456358,2024/7/19,787,PEK,100,X,13R,LD3,01
2592456358,2024/7/19,787,PEK,1625,C,21P,P6P,01
2592456358,2024/7/19,787,PEK,1445,C,22P,P6P,01
2592456358,2024/7/19,787,PEK,655,C,23P,P6P,01
2592456358,2024/7/19,787,PEK,848,BY,31L,LD3,01
2592456358,2024/7/19,787,PEK,849,BY,31R,LD3,01
2592456358,2024/7/19,787,PEK,830,BT,32L,LD3,01
2592456358,2024/7/19,787,PEK,830,BT,32R,LD3,01
2592456358,2024/7/19,787,PEK,449,BY,33L,LD3,01
2592456358,2024/7/19,787,PEK,400,BY,33R,LD3,01
2592456358,2024/7/19,787,PEK,50,BY,5,BULK,01
2592456358,2024/7/19,787,PEK,50,BT,5,BULK,01
2592456358,2024/7/19,787,PEK,100,X,13L,LD3,01
2592456358,2024/7/19,787,PEK,1985,C,13P,P6P,01
2592456358,2024/7/19,787,PEK,100,X,13R,LD3,01
2592456358,2024/7/19,787,PEK,1625,C,21P,P6P,01
2592456358,2024/7/19,787,PEK,1445,C,22P,P6P,01
2592456358,2024/7/19,787,PEK,655,C,23P,P6P,01
2592456358,2024/7/19,787,PEK,848,BY,31L,LD3,01
2592456358,2024/7/19,787,PEK,849,BY,31R,LD3,01
2592456358,2024/7/19,787,PEK,830,BT,32L,LD3,01
2592456358,2024/7/19,787,PEK,830,BT,32R,LD3,01
2592456358,2024/7/19,787,PEK,449,BY,33L,LD3,01
2592456358,2024/7/19,787,PEK,400,BY,33R,LD3,01
2592456358,2024/7/19,787,PEK,50,BY,5,BULK,01
2592456358,2024/7/19,787,PEK,50,BT,5,BULK,01
2592456358,2024/7/19,787,PEK,100,X,13L,LD3,01
2592456358,2024/7/19,787,PEK,1985,C,13P,P6P,01
2592456358,2024/7/19,787,PEK,100,X,13R,LD3,01
2592456358,2024/7/19,787,PEK,1625,C,21P,P6P,01
2592456358,2024/7/19,787,PEK,1445,C,22P,P6P,01
2592456358,2024/7/19,787,PEK,655,C,23P,P6P,01
2592456358,2024/7/19,787,PEK,589,BY,31L,LD3,01
2592456358,2024/7/19,787,PEK,639,BY,31R,LD3,01
2592456358,2024/7/19,787,PEK,615,BT,32L,LD3,01
2592456358,2024/7/19,787,PEK,546,BT,32R,LD3,01
2592456358,2024/7/19,787,PEK,563,BT,33L,LD3,01
2592456358,2024/7/19,787,PEK,270,BY,33R,LD3,01
2592456358,2024/7/19,787,PEK,50,BY,5,BULK,01
2592456358,2024/7/19,787,PEK,36,BT,5,BULK,01
5477686392,2024/6/4,787,HGH,109,C,11L,LD3,01
5477686392,2024/6/4,787,HGH,405,B,11R,LD3,01
5477686392,2024/6/4,787,HGH,405,B,12L,LD3,01
5477686392,2024/6/4,787,HGH,405,B,12R,LD3,01
5477686392,2024/6/4,787,HGH,1166,C,21P,P6P,01
5477686392,2024/6/4,787,HGH,1806,C,22P,P6P,01
5477686392,2024/6/4,787,HGH,3260,C,23P,P6P,01
4418418555,2024/6/4,787,CKG,1174,C,11P,P6P,01
4418418555,2024/6/4,787,CKG,730,C,21P,P6P,01
4418418555,2024/6/4,787,CKG,670,C,22P,P6P,01
