FLIGHT,FLTDATE,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY
1217915184,2024/11/22,787,CKG,600,B,11L,LD3,1
1217915184,2024/11/22,787,CKG,600,B,11R,LD3,1
1217915184,2024/11/22,787,CKG,600,B,12L,LD3,1
1217915184,2024/11/22,787,CKG,600,B,12R,LD3,1
1217915184,2024/11/22,787,CKG,600,B,13R,LD3,1
1217915184,2024/11/22,787,CKG,100,B,5,BULK,1
2093265288,2024/11/25,787,GRU,700,B,11R,LD3,1
2093265288,2024/11/25,787,GRU,700,B,12L,LD3,1
2093265288,2024/11/25,787,GRU,700,B,12R,LD3,1
2093265288,2024/11/25,787,GRU,3097,C T,22P,P6P,1
2093265288,2024/11/25,787,GRU,2560,C T,23P,P6P,1
2093265288,2024/11/25,787,GRU,1382,C T,31P,P6P,1
2093265288,2024/11/25,787,GRU,3049,C T,32P,P6P,1
2093265288,2024/11/25,787,GRU,2990,C T,33P,P6P,1
2093265288,2024/11/25,787,GRU,468,B T,43L,LD3,1
2093265288,2024/11/25,787,GRU,467,B T,43R,LD3,1
2093265288,2024/11/25,787,GRU,467,B T,44L,LD3,1
2093265288,2024/11/25,787,GRU,467,B T,44R,LD3,1
2093265288,2024/11/25,787,GRU,20,B T,5,BULK,1
2093265288,2024/11/25,787,GRU,20,B,5,BULK,1
2093265288,2024/11/25,787,GRU,700,B,11L,LD3,1
2260591380,2024/11/24,787,CKG,433,C,11P,P6P,3
2260591380,2024/11/24,787,CKG,668,C,13L,LD3,3
2260591380,2024/11/24,787,CKG,531,C,13P,P6P,3
2260591380,2024/11/24,787,CKG,1213,C,21P,P6P,1
2260591380,2024/11/24,787,CKG,1048,C,22P,P6P,3
2260591380,2024/11/24,787,CKG,1095,C,23P,P6P,1
2260591380,2024/11/24,787,CKG,363,B,31L,LD3,1
2260591380,2024/11/24,787,CKG,362,B,31R,LD3,1
2260591380,2024/11/24,787,CKG,363,B,32L,LD3,1
2260591380,2024/11/24,787,CKG,5,M,5,BULK,1
2260591380,2024/11/24,787,CKG,20,B,5,BULK,1
1217915184,2024/10/1,787,CKG,100,X,11L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,11R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,12L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,12R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,13L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,13R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,14L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,14R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,15L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,15R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,21L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,21R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,22L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,22R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,23L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,23R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,24L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,24R,LD3,1
1217915184,2024/10/1,787,CKG,100,X,25L,LD3,1
1217915184,2024/10/1,787,CKG,100,X,25R,LD3,1
1217915184,2024/10/1,787,CKG,400,B,31L,LD3,1
1217915184,2024/10/1,787,CKG,400,B,31R,LD3,1
1217915184,2024/10/1,787,CKG,400,B,32L,LD3,1
1217915184,2024/10/1,787,CKG,400,B,32R,LD3,1
1217915184,2024/10/1,787,CKG,50,B,5,BULK,1
