FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3776274215,A320,SIN,306,BY,13,,1,0,
3776274215,A320,SIN,306,BY,12,,1,0,
3776274215,A320,SIN,473,BY,32,,1,0,
3776274215,A320,SIN,473,BY,31,,1,0,
3776274215,A320,SIN,306,BY,11,,1,0,
3776284053,A330,CTU,3000,C,41P,P6P,1,0,
3776284053,A330,CTU,1000,C,31P,P6P,1,0,
3776284053,A330,CTU,4000,C,22P,P6P,1,0,
3776284053,A330,CTU,2000,C,32P,P6P,1,0,
3776284053,A330,CTU,100,M,52,BULK,1,0,
3776284053,A330,CTU,500,B,11L,LD3,1,0,
3776284053,A330,CTU,500,B,11R,LD3,1,0,
3776284053,A330,CTU,15,B,51,BULK,1,0,
3776301189,A319,MIG,773,BY,1H,,1,0,
3776831808,A319,LXA,670,BY,1H,,1,0,
3776831808,A319,LXA,953,C,4H,,1,0,
3776831808,A319,LXA,199,C,1H,,1,0,
3776831808,A319,LXA,160,C,5H,,1,0,
3776832278,A321,LZO,466,BY,4H,,1,0,
3777407275,A321,CAN,377,BY,3H,,1,0,
3776339730,A321,YBP,414,BY,4H,,1,0,
3776339730,A321,YBP,425,C,2H,,1,0,
3776339730,A321,YBP,455,C,3H,,1,0,
3776339730,A321,YBP,519,C,3H,,1,0,
3777408301,A321,CAN,800,BY,3H,,1,0,
3777408301,A321,CAN,576,BY,3H,,1,0,
3776337978,A320,XIC,846,BY,1H,,1,0,
3776337978,A320,XIC,106,C,1H,,1,0,
3777408246,A320,CAN,71,B,1H,,1,0,
3776334228,A320,URC,3,C,3H,,1,0,
3776334228,A320,URC,16,C,3H,,1,0,
3776334228,A320,URC,8,C,3H,,1,0,
3776334228,A320,URC,297,B,1H,,1,0,
3776308088,A320,PEK,600,BY,1H,,1,0,
3776308088,A320,PEK,523,BY,1H,,1,0,
3776308088,A320,PEK,1,C,1H,,1,0,
3776341846,A320,ZHY,79,B,4H,,1,0,
3776341846,A320,KMG,194,B,1H,,1,0,
3776298278,A320,KMG,565,B,1H,,1,0,
3776298278,A320,KMG,592,C,1H,,1,0,
3776298278,A320,KMG,591,C,1H,,1,0,
3776298278,A320,KMG,591,C,1H,,1,0,
3776298278,A320,KMG,591,C,3H,,1,0,
3776298278,A320,KMG,527,C,3H,,1,0,
3776298278,A320,KMG,0,BY,4H,,1,0,
3776341663,A320,ZHY,5,EC,4H,,1,0,
3776341663,A320,PEK,1565,C,1H,,1,0,
3776341663,A320,PEK,732,C,3H,,1,0,
3776341663,A320,ZHY,394,BY,4H,,1,0,
3776341663,A320,PEK,353,BY,5H,,1,0,
3776308495,A320,PEK,1565,C,1H,,1,0,
3776308495,A320,PEK,732,C,3H,,1,0,
3776308495,A320,PEK,353,BY,5H,,1,0,
3776308495,A320,PEK,43,BY,4H,,1,0,
3777407115,A321,CAN,546,C,3H,,1,0,
3777407115,A321,CAN,800,B,4H,,1,0,
3777407115,A321,CAN,19,B,4H,,1,0,
3776292343,A321,HGH,225,BY,4H,,1,0,
3776292343,A321,HGH,130,M,5H,,1,0,
3776292343,A321,HGH,860,C,3H,,1,0,
3776765834,A320,HRB,34,C,3H,,1,0,
3776765834,A320,HRB,716,B,1H,,1,0,
3776765834,A320,HRB,14,B,4H,,1,0,
3776293401,A320,HGH,420,C,3H,,1,4,
3776293401,A320,HGH,346,C,4H,,1,3,
3776293401,A320,HGH,27,M,4H,,1,1,
3776293401,A320,HGH,708,BY,1H,,1,0,
3776296583,A321,KMG,489,C,3H,,1,0,
3776296583,A321,KMG,453,C,2H,,1,0,
3776296583,A321,KMG,24,C,2H,,1,0,
3776296583,A321,KMG,4,C,3H,,1,0,
3776296583,A321,KMG,498,B,4H,,1,0,
3776296583,A321,KMG,1,EC,1H,,1,0,
3776293456,A321,HGH,726,C,1H,,1,0,
3776293456,A321,HGH,1064,C,2H,,1,0,
3776293456,A321,HGH,1826,C,3H,,1,0,
3776293456,A321,HGH,12,C,3H,,1,0,
3776293456,A321,HGH,254,M,5H,,1,0,
3776293456,A321,HGH,1011,BY,4H,,1,0,
3776341447,A320,ZAT,278,B,3H,,1,0,
3776765067,A320,HGH,335,BY,1H,,1,0,
3776832302,A320,LZO,620,C,3H,,1,0,
3776832302,A320,LZO,594,C,1H,,1,0,
3776832302,A320,LZO,516,C,1H,,1,0,
3776832302,A320,LZO,142,C,5H,,1,0,
3776832302,A320,LZO,267,B,4H,,1,0,
3776293647,A320,HGH,500,BY,1H,,1,0,
3776293647,A320,HGH,1,BY,1H,,1,0,
3776293647,A320,HGH,250,C,1H,,1,0,
